From-User;From-User-Id;Language;Text;;Retweet-Count;Id;;;
Sony Andrio Ranhas;68169964;in;"Kebetulan lagi punya voucher GrabGifts @GrabID, jadi kepikiran buat bagi-bagi rezeki. Lewat tebak skor seru kali yaa.

Langsung gas lah. Silakan tebak skor (di luar adu penalti) Indonesia vs Thailand di kolom reply yaa.

Ada voucher GrabGifts masing-masing Rp100.000 untuk 2 orang… https://t.co/5jgl9BnCAi";;34,0;1658429402915688448;;;
Grab Indonesia;2322081114;in;"@_yakaliajadahh Mohon maaf jd bikin ga nyaman ?? Aku bantu cek lebih lanjut, mohon DM aku cukup dengan ketik format #Bantuan atau ketik 'Chat dengan Agent' ya kak supaya bisa terhubung langsung dgn aku dan teman2 aku. Terima kasih ?? -Takur
https://t.co/UmXsKP6rRa";;,0;1661272213205716992;;;
Mencoba Waras;90758945;in;"@gojekindonesia @GrabID CEO kalian ga mau nyobain orientasi lapangan?

Tapi yg bike sama food ya... https://t.co/Pcif6ggXnG";;,0;1661271646684999680;;;
_yakaliajadahh;1640661246054899713;in;@GrabID Udah email dan SELALU saya bales tp selalu dibilang saya ga respond? Sampe saat ini OVO saya aman jaya di aplikasi lain kecuali di GRAB. Di akun GRAB saya, saldo OVO saya ga ada padahal ada! Pusing jelasin diulang2 mulu doang tp ga diselesein!!;;,0;1661270764597723139;;;
Grab Indonesia;2322081114;in;@yourdreamteller @gojekindonesia Baik Kak, terima kasih untuk masukannya ?? -Rara;;,0;1661270488113614849;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *60;;,0;1661270368491913216;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *59;;,0;1661270340537024513;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *58;;,0;1661270314645422082;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *57;;,0;1661270281355427841;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *56;;,0;1661270252406157312;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *55;;,0;1661270218679918593;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *54;;,0;1661270194050801669;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *53;;,0;1661270168335446017;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *52;;,0;1661270141219516417;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *51;;,0;1661270111909728258;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *50;;,0;1661270085560836098;;;
Monic Ariestyawati;96854616;in;@GrabID Halloo! Halloo! Jawaban { B } Ikan Gurame #SpesialisSegarGrabMart #GrabMartID *49;;,0;1661270057320849408;;;
