Id;From-User;To-User;Text
1660544493664489472;i-Cup Bubble Tea;;"Diskon 20% Gofood
?? ICup Sultan Agung
Berlaku juga untuk kemasan botol 1Liter
??Ice Taro Milk ??
??Milk Tea Choco??
Grab it fast gaess??

#boba #icupbubbletea #diskonbandung #Promoo #Like #MondayMotivaton #MondayMood #sundayvibes #FYP

https://t.co/6tnvaxsrfc"
1660536743937064960;A. Widy K;centraljavaspot;@xkode06 Mayan buat pick up mixue diskon pick up 17% plus pakai grab gift nya https://t.co/vFh9tukiuH
1660536366210617344;A. Widy K;centraljavaspot;@i_m_mortal_ Mayan buat pick up mixue diskon pick up 17% plus pakai grab gift nya https://t.co/8vGXUUKjmJ
1660535709344866309;Abun Mikaless || Opennn • MT after dm ????;;RT @buerbatos: ??HI HIIII! dalam rangka ak akhirny lulus (anjay), ak mw ngsih special offer nih! setiap joki di bawah 10k bakal dapet disko…
1660527158476013568;/DF - Baca Likes teratas untuk kirim menfess;;/tanya maaf kalo oot, aku kan mau beli gacoan di grab pickup biar dapet diskon hehe, nanti itu ikutan ngantri atau udah ada tempatnya sendiri yaa buat pickup? thanks
1660524442521579523;zee ?? order ke @fkaruzan;;RT @buerbatos: ??HI HIIII! dalam rangka ak akhirny lulus (anjay), ak mw ngsih special offer nih! setiap joki di bawah 10k bakal dapet disko…
1660521309485568000;Ceyen???? clearance sell underprice seventeen;KimloyG;@KimloyG Grab banyak diskon mjirrr
1660499014620676101;Asri Eviana;;"RT @GrabID: Pertandingan mana nih yg kamu tunggu minggu ini? Yuk dukung tim jagoanmu dengan nonton di Vidio!
Langganan sekarang di sini & d…"
1660496425711710208;Timmy Christian O;i_m_mortal_;"@i_m_mortal_ Kak im, bisa bantu rt?
Wts grab transport voch nominal 10k, dijual 5300.

Makasih kak

Wtb wts ojek promo zonauang diskon cashback https://t.co/XeLbBujU9o"
1660490405593628672;mei •?•;;"RT @ofMagique: Help RT, please? Thank you! ?

Hayi. Jillie datang dengan ready stock spesial ? ZEROBASEONE ? yang bisa langsung diangkut. H…"
1660486706355896320;Grab Indonesia;cindypnr;@cindypnr Mau menu makan siang & malam yang nikmat & hemat. Pesen pake Group Order di GrabFood Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Ada diskon s/d Rp150rb nih ?? Langsung pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660486409978003457;Grab Indonesia;saladfourth;@saladfourth Pesen pake Group Order di GrabFood aja Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ?? Langsung pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660486304893923330;Grab Indonesia;thecapablekings;@thecapablekings Mau jajan ramean lagi, pake fitur Group Order di GrabFood aja Kak bisa bebas seenaknya pilih masing2. Apalagi ada diskon s/d Rp150rb, gausah repot2 muterin HP nanyain satu-satu mau jajan apa deh xixi. Klik langsung di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660486214955466753;Grab Indonesia;adeknyadyo;@adeknyadyo Mau promo GrabFood? Pake fitur Group Order di GrabFood aja Kak bisa bebas seenaknya pilih masing2. Apalagi ada diskon s/d Rp150rb, gausah repot2 muterin HP nanyain satu-satu mau jajan apa deh xixi. Klik langsung di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660486090774708225;rossy;;"RT @ofMagique: Help RT, please? Thank you! ?

Hayi. Jillie datang dengan ready stock spesial ? ZEROBASEONE ? yang bisa langsung diangkut. H…"
1660486025993674752;Grab Indonesia;haireached;@haireached Biar gak bingung masak apa pesen pake Group Order di GrabFood Kak, menunya lengkap & nikmat, pesen ramean bebas seenaknya pilihnya masing-masing! Ada diskon s/d Rp150rb nih ?? Langsung pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660485934222282752;Grab Indonesia;sfarichaaa;@sfarichaaa ?? oh iya Kak, saat ini layanan GrabFood dah bisa pake fitur Group Order. Kak bisa bebas seenaknya pilih masing2 & ada diskon s/d Rp150rb, gausah repot2 muterin HP nanyain satu-satu mau jajan apa deh xixi. Klik langsung di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660485848159375360;Grab Indonesia;MILFD0;@MILFD0 Gaskuennn...Pesen pake Group Order di GrabFood aja Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ?? Langsung pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1660485674359992320;Grab Indonesia;wnggrni;@wnggrni Eitss...tenang, pesen pake Group Order di GrabFood aja Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ?? Langsung pesen jajannya di sini ya????-Tita https://t.co/8Zxmd95Xyu
